Catégorie;Désignation;Unité;Prix TTC (Ar);Fournisseur;Ville;Région;Disponibilité;Date du prix;Source
Ciment;Ciment LOVA CEM II B-P 22,5;sac 50 kg;34500.0;Sanifer;Antananarivo;Analamanga;En ligne;2026-09-18;Fiche produit / EN 197-1
Ciment;Ciment Lafatra CEM II 32,5;sac 50 kg;36500.0;Sanifer;Antananarivo;Analamanga;En ligne;2026-09-18;Sanifer
Ciment;Ciment Orimbato CEM II/A-P V42,5;sac 50 kg;42000.0;Sanifer;Antananarivo;Analamanga;En ligne;2026-09-18;EN 197-1 / fiche technique ciment
Ciment;Ciment Orimbato CEM V42,5;sac 50 kg;40000.0;SHOP TBM;Antananarivo;Analamanga;En ligne;2026-09-18;EN 197-1 / fiche technique ciment
Ciment;Ciment Lucky;sac 50 kg;45600.0;Ceramad;Antananarivo;Analamanga;En stock;2026-09-18;Ceramad
Ciment;Ciment blanc 10 kg;sac;90250.0;Sanifer Tamatave;Toamasina;Atsinanana;Prix web après remise;2026-09-18;Sanifer Tamatave
Ciment;Ciment blanc Axton 5 kg;sac;52250.0;Sanifer Tamatave;Toamasina;Atsinanana;Prix web après remise;2026-09-18;Sanifer Tamatave
Maçonnerie;Parpaing creux 10;pièce;2600.0;Akora;Antananarivo;Analamanga;Marché;2026-09-18;"Référence dimensionnelle fabricant/marché; masse publiée Akora lorsque disponible"
Maçonnerie;Parpaing creux 15;pièce;1780.0;Akora;Antananarivo;Analamanga;Marché;2026-09-18;"Référence dimensionnelle fabricant/marché; masse publiée Akora lorsque disponible"
Maçonnerie;Parpaing creux 20;pièce;3400.0;Akora;Antananarivo;Analamanga;Marché;2026-09-18;"Référence dimensionnelle fabricant/marché; masse publiée Akora lorsque disponible"
Maçonnerie;Brique creuse 10;pièce;2500.0;Akora;Antananarivo;Analamanga;Marché;2026-09-05;Akora
Maçonnerie;Brique creuse 15;pièce;3000.0;Akora;Antananarivo;Analamanga;Marché;2026-09-05;Akora
Maçonnerie;Brique creuse 20;pièce;3500.0;Akora;Antananarivo;Analamanga;Marché;2026-09-05;Akora
Maçonnerie;Brique repressée;pièce;2200.0;Akora;Antananarivo;Analamanga;Marché;2026-09-05;Akora
Maçonnerie;Briquette;pièce;500.0;Akora;Antananarivo;Analamanga;Marché;2026-09-05;Akora
Maçonnerie;Brique de terre comprimée;pièce;1400.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-06;Akora
Plancher;Hourdis 20;pièce;500.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-05;Akora
Plancher;Hourdis 20×20×50;pièce;3700.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-03;Akora
